initial_infected,maximum_hospitalized,effected_by_closure,number_recovered,closed_headcount,epidemic_duration
2,2,4233,2,2,11
2,2,4205,2,3,11
2,2,4184,2,4,11
2,2,4132,2,5,11
2,3,4087,3,6,14
2,2,4035,2,7,11
2,2,3958,2,8,11
2,2,3910,2,9,11
2,9,3890,13,10,18
2,7,3810,9,11,17
2,2,3769,4,12,17
2,2,3654,2,13,11
2,14,3586,19,14,17
2,13,3525,23,15,24
2,2,3469,3,16,17
2,5,3469,16,17,28
2,3,3374,3,18,12
2,5,3342,8,19,17
2,11,3289,16,20,17
2,6,3171,9,21,17
2,4,3114,6,22,17
2,6,3099,16,23,31
2,2,2933,2,24,11
2,23,2915,31,25,17
2,17,2812,21,26,17
2,18,2779,27,27,21
2,7,2583,15,28,22
2,15,2580,27,29,21
2,16,2573,24,30,19
2,2,2343,2,31,11
2,19,2380,29,32,21
2,34,2546,70,33,24
2,23,2585,86,34,33
2,2,2239,2,35,11
2,10,2208,16,36,19
2,32,2311,45,37,23
2,26,2409,59,38,35
2,4,2203,8,39,20
2,35,2276,50,40,19
2,70,2480,115,41,27
2,32,2285,97,42,30
2,58,2539,159,43,32
2,55,2598,167,44,35
2,49,3052,317,45,70
2,10,1793,19,46,24
2,57,2898,285,47,49
2,36,1918,68,48,26
2,63,2834,298,49,51
2,70,1945,136,50,36
2,73,1797,114,51,26
2,54,2376,262,52,47
2,2,1288,2,53,11
2,117,2498,251,54,29
2,29,1475,59,55,32
2,94,2887,373,56,36
2,53,2314,270,57,45
2,87,3162,437,58,61
2,25,1029,40,59,24
2,84,2650,431,60,69
2,158,3918,720,61,53
2,170,3908,689,62,54
2,133,2169,304,63,41
2,117,2326,405,64,37
2,115,2218,363,65,36
2,167,3719,654,66,39
2,118,3949,742,67,60
2,192,4051,767,68,56
2,63,1271,173,69,50
2,101,2416,417,70,39
2,127,2416,415,71,34
2,133,2416,414,72,31
2,114,2097,317,73,32
2,31,650,52,74,23
2,86,1706,226,75,35
2,180,4049,784,76,42
2,3,383,5,77,17
2,107,2524,425,78,52
2,123,2121,405,79,38
2,189,4049,771,80,44
2,183,4049,783,81,47
2,182,1932,372,82,25
2,111,1930,372,83,35
2,85,1786,341,84,46
2,216,4047,818,85,45
2,131,1833,345,86,34
2,296,4047,805,87,35
2,188,4049,821,88,49
2,254,4043,799,89,37
2,162,4049,800,90,43
2,171,2416,443,91,38
2,247,4049,824,92,40
2,270,4035,811,93,42
2,94,2284,411,94,39
2,179,4051,825,95,45
2,94,1860,406,96,39
2,253,4053,824,97,36
2,204,4067,831,98,43
2,47,227,58,99,17
2,172,2420,456,100,36
2,144,3987,802,101,52
2,135,1844,399,102,35
2,219,4105,856,103,45
2,123,1806,396,104,35
2,291,4100,847,105,36
2,295,4102,830,106,37
2,235,4108,845,107,41
2,192,4103,821,108,45
2,146,2474,473,109,39
2,178,4105,843,110,44
2,180,1752,370,111,32
2,117,1651,331,112,36
2,114,2428,454,113,40
2,185,2541,462,114,38
2,87,1858,406,115,43
2,232,4096,844,116,44
2,115,2587,487,117,40
2,163,1752,358,118,29
2,180,2477,466,119,37
20,20,4233,20,2,11
